	835                      	2                        	0.0771                   	14,15                    
	839                      	2                        	0.2508                   	14,15                    
	842                      	1                        	0.0265                   	7                        
	845                      	2                        	0.0093                   	14,15                    
	848                      	1                        	0.1723                   	5                        
	854                      	1                        	0.0069                   	14                       
	859                      	1                        	0.1113                   	15                       
	863                      	2                        	0.0401                   	4,11                     
	864                      	4                        	0.0137                   	3,9,12,15                
	865                      	2                        	0.039                    	3,11                     
	866                      	5                        	0.0305                   	2,3,7,9,12               
	872                      	1                        	0.055                    	17                       
	881                      	1                        	0.0557                   	14                       
	885                      	8                        	0.0322                   	1,3,5,10,16,17,19,20     
	888                      	2                        	0.0824                   	11,12                    
	891                      	3                        	0.0227                   	2,5,10                   
	892                      	5                        	0.0496                   	4,9,14,15,19             
	897                      	3                        	0.0654                   	11,14,15                 
	899                      	11                       	0.0563                   	1,3,4,5,10,11,12,16,17,19,20
	921                      	1                        	0.0299                   	13                       
	943                      	3                        	0.0303                   	5,9,16                   
	944                      	5                        	0.0428                   	3,6,7,8,18               
	958                      	1                        	0.0237                   	16                       
	959                      	2                        	0.0149                   	2,17                     
	961                      	1                        	0.0016                   	2                        
	967                      	1                        	0.0225                   	16                       
	976                      	1                        	0.0451                   	6                        
	980                      	1                        	0.0108                   	4                        
	987                      	4                        	0.0528                   	5,6,16,19                
	990                      	1                        	0.0921                   	20                       
	995                      	5                        	0.0306                   	1,3,15,18,20             
	996                      	1                        	0.0727                   	2                        
	1002                     	4                        	0.0125                   	10,14,18,20              
	1019                     	11                       	0.0342                   	1,3,5,7,8,10,13,15,16,19,20
	1020                     	2                        	0.0203                   	2,6                      
	1021                     	1                        	0.0452                   	2                        
	1030                     	4                        	0.0214                   	1,4,11,12                
	1037                     	2                        	0.0042                   	6,20                     
	1046                     	2                        	0.0239                   	19,20                    
	1052                     	5                        	0.0293                   	3,4,10,18,20             
	1059                     	2                        	0.0312                   	3,4                      
	1064                     	3                        	0.0142                   	3,7,8                    
	1077                     	1                        	0.0422                   	17                       
