1. Distance restraints summary
------------------------------

	Total number of restraints                                    =  4712 (100.0%)
	Intraresidue restraints |i-j|=0                               =   934 (19.82%)
	Sequential restraints |i-j|=1                                 =  1024 (21.73%)
	Medium range  restraints|i-j|>1 and |i-j|<5                   =   890 (18.89%)
	Long range restraints|i-j|>=5                                 =  1864 (39.56%)


2. Distance restraint violations
--------------------------------

2.1 Number of violated restraints for each model
------------------------------------------------

       Model	    Not Violated(%)	        Violated(%)	         0A-0.2A(%)	       0.2A-0.5A(%)	       0.5A-1.0A(%)	       1.0A-2.0A(%)	       2.0A-5.0A(%)	           >5.0A(%)

           1	        4198(89.09)	         514(10.91)	         461(9.78)	          21(0.45)	          30(0.64)	           2(0.04)	           0(0.0)	           0(0.0)
           2	        4213(89.41)	         499(10.59)	         446(9.47)	          24(0.51)	          26(0.55)	           3(0.06)	           0(0.0)	           0(0.0)
           3	        4212(89.39)	         500(10.61)	         447(9.49)	          24(0.51)	          27(0.57)	           2(0.04)	           0(0.0)	           0(0.0)
           4	        4203(89.2)	         509(10.8)	         456(9.68)	          22(0.47)	          28(0.59)	           3(0.06)	           0(0.0)	           0(0.0)
           5	        4210(89.35)	         502(10.65)	         450(9.55)	          21(0.45)	          29(0.62)	           2(0.04)	           0(0.0)	           0(0.0)
           6	        4198(89.09)	         514(10.91)	         460(9.76)	          22(0.47)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
           7	        4200(89.13)	         512(10.87)	         457(9.7)	          26(0.55)	          26(0.55)	           3(0.06)	           0(0.0)	           0(0.0)
           8	        4202(89.18)	         510(10.82)	         456(9.68)	          22(0.47)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
           9	        4198(89.09)	         514(10.91)	         457(9.7)	          27(0.57)	          29(0.62)	           1(0.02)	           0(0.0)	           0(0.0)
          10	        4200(89.13)	         512(10.87)	         462(9.8)	          24(0.51)	          23(0.49)	           3(0.06)	           0(0.0)	           0(0.0)
          11	        4194(89.01)	         518(10.99)	         460(9.76)	          26(0.55)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
          12	        4184(88.79)	         528(11.21)	         473(10.04)	          25(0.53)	          30(0.64)	           0(0.0)	           0(0.0)	           0(0.0)
          13	        4184(88.79)	         528(11.21)	         474(10.06)	          22(0.47)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
          14	        4199(89.11)	         513(10.89)	         460(9.76)	          22(0.47)	          28(0.59)	           3(0.06)	           0(0.0)	           0(0.0)
          15	        4206(89.26)	         506(10.74)	         449(9.53)	          26(0.55)	          29(0.62)	           2(0.04)	           0(0.0)	           0(0.0)
          16	        4193(88.99)	         519(11.01)	         467(9.91)	          24(0.51)	          26(0.55)	           2(0.04)	           0(0.0)	           0(0.0)
          17	        4208(89.3)	         504(10.7)	         448(9.51)	          26(0.55)	          28(0.59)	           2(0.04)	           0(0.0)	           0(0.0)
          18	        4183(88.77)	         529(11.23)	         476(10.1)	          22(0.47)	          29(0.62)	           2(0.04)	           0(0.0)	           0(0.0)
          19	        4182(88.75)	         530(11.25)	         477(10.12)	          22(0.47)	          28(0.59)	           3(0.06)	           0(0.0)	           0(0.0)
          20	        4201(89.16)	         511(10.84)	         458(9.72)	          26(0.55)	          26(0.55)	           1(0.02)	           0(0.0)	           0(0.0)


2.2 Number of violated models for each restraint
------------------------------------------------

	Restraint ID             	No. of Violated Models   	Average Violation(A)     	Violated Models          
	74                       	10                       	0.042                    	1,3,4,6,8,9,10,11,14,18  
	83                       	20                       	0.0332                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	88                       	12                       	0.0488                   	1,4,5,6,8,11,12,14,15,16,17,18
	96                       	3                        	0.0238                   	7,8,19                   
	100                      	18                       	0.0448                   	1,2,3,4,5,6,8,9,10,11,12,13,14,15,17,18,19,20
	102                      	20                       	0.14                     	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	103                      	20                       	0.0595                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	104                      	20                       	0.0862                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	105                      	20                       	0.1134                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	137                      	16                       	0.029                    	1,2,4,5,6,7,8,10,11,13,14,15,16,17,18,19
	138                      	18                       	0.0142                   	1,2,3,4,5,6,7,8,9,10,11,13,14,16,17,18,19,20
	60                       	14                       	0.0372                   	1,2,5,6,8,9,10,11,12,13,15,17,18,19
	79                       	2                        	0.0967                   	16,20                    
	80                       	1                        	0.0171                   	20                       
	85                       	18                       	0.0966                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19
	86                       	20                       	0.9639                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	89                       	1                        	0.0059                   	19                       
	94                       	1                        	0.0178                   	19                       
	95                       	3                        	0.0535                   	1,15,20                  
	99                       	4                        	0.0124                   	4,14,16,17               
	102                      	16                       	0.0309                   	1,3,4,5,6,8,9,10,11,12,13,14,16,17,18,19
	103                      	20                       	0.0769                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	122                      	9                        	0.0325                   	2,7,8,9,10,11,13,15,17   
	123                      	5                        	0.0549                   	3,5,9,17,19              
	132                      	13                       	0.0923                   	1,2,3,4,5,7,9,12,13,14,17,19,20
	133                      	4                        	0.0339                   	3,5,6,11                 
	135                      	11                       	0.0836                   	3,4,5,9,10,11,13,14,16,18,19
	139                      	10                       	0.1172                   	4,7,10,11,13,14,16,18,19,20
	165                      	9                        	0.1086                   	2,3,7,9,10,11,17,19,20   
	170                      	20                       	0.1621                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	172                      	5                        	0.0246                   	2,3,7,10,17              
	173                      	4                        	0.0224                   	8,11,12,14               
	179                      	1                        	0.1229                   	6                        
	193                      	16                       	0.0564                   	1,2,3,6,7,8,9,10,11,12,13,15,17,18,19,20
	195                      	1                        	0.0068                   	18                       
	196                      	19                       	0.0615                   	1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	197                      	12                       	0.0825                   	1,4,5,6,8,11,12,13,14,15,16,18
	199                      	12                       	0.1773                   	1,4,5,6,8,11,12,13,14,15,16,18
	200                      	3                        	0.0464                   	1,5,15                   
	203                      	8                        	0.1601                   	2,3,7,9,10,17,19,20      
	205                      	6                        	0.036                    	6,8,12,14,16,18          
	207                      	15                       	0.0493                   	1,4,5,6,7,8,9,10,11,12,13,14,15,16,18
	215                      	9                        	0.1027                   	1,2,3,7,9,13,14,18,19    
	216                      	2                        	0.0363                   	8,17                     
	218                      	13                       	0.0691                   	1,2,3,4,7,9,11,12,13,14,15,17,18
