1. Distance restraints summary
------------------------------

	Total number of restraints                                    =  4712 (100.0%)
	Intraresidue restraints |i-j|=0                               =   934 (19.82%)
	Sequential restraints |i-j|=1                                 =  1024 (21.73%)
	Medium range  restraints|i-j|>1 and |i-j|<5                   =   890 (18.89%)
	Long range restraints|i-j|>=5                                 =  1864 (39.56%)


2. Distance restraint violations
--------------------------------

2.1 Number of violated restraints for each model
------------------------------------------------

       Model	    Not Violated(%)	        Violated(%)	         0A-0.2A(%)	       0.2A-0.5A(%)	       0.5A-1.0A(%)	       1.0A-2.0A(%)	       2.0A-5.0A(%)	           >5.0A(%)

           1	        4198(89.09)	         514(10.91)	         461(9.78)	          21(0.45)	          30(0.64)	           2(0.04)	           0(0.0)	           0(0.0)
           2	        4213(89.41)	         499(10.59)	         446(9.47)	          24(0.51)	          26(0.55)	           3(0.06)	           0(0.0)	           0(0.0)
           3	        4212(89.39)	         500(10.61)	         447(9.49)	          24(0.51)	          27(0.57)	           2(0.04)	           0(0.0)	           0(0.0)
           4	        4203(89.2)	         509(10.8)	         456(9.68)	          22(0.47)	          28(0.59)	           3(0.06)	           0(0.0)	           0(0.0)
           5	        4210(89.35)	         502(10.65)	         450(9.55)	          21(0.45)	          29(0.62)	           2(0.04)	           0(0.0)	           0(0.0)
           6	        4198(89.09)	         514(10.91)	         460(9.76)	          22(0.47)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
           7	        4200(89.13)	         512(10.87)	         457(9.7)	          26(0.55)	          26(0.55)	           3(0.06)	           0(0.0)	           0(0.0)
           8	        4202(89.18)	         510(10.82)	         456(9.68)	          22(0.47)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
           9	        4198(89.09)	         514(10.91)	         457(9.7)	          27(0.57)	          29(0.62)	           1(0.02)	           0(0.0)	           0(0.0)
          10	        4200(89.13)	         512(10.87)	         462(9.8)	          24(0.51)	          23(0.49)	           3(0.06)	           0(0.0)	           0(0.0)
          11	        4194(89.01)	         518(10.99)	         460(9.76)	          26(0.55)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
          12	        4184(88.79)	         528(11.21)	         473(10.04)	          25(0.53)	          30(0.64)	           0(0.0)	           0(0.0)	           0(0.0)
          13	        4184(88.79)	         528(11.21)	         474(10.06)	          22(0.47)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
          14	        4199(89.11)	         513(10.89)	         460(9.76)	          22(0.47)	          28(0.59)	           3(0.06)	           0(0.0)	           0(0.0)
          15	        4206(89.26)	         506(10.74)	         449(9.53)	          26(0.55)	          29(0.62)	           2(0.04)	           0(0.0)	           0(0.0)
          16	        4193(88.99)	         519(11.01)	         467(9.91)	          24(0.51)	          26(0.55)	           2(0.04)	           0(0.0)	           0(0.0)
          17	        4208(89.3)	         504(10.7)	         448(9.51)	          26(0.55)	          28(0.59)	           2(0.04)	           0(0.0)	           0(0.0)
          18	        4183(88.77)	         529(11.23)	         476(10.1)	          22(0.47)	          29(0.62)	           2(0.04)	           0(0.0)	           0(0.0)
          19	        4182(88.75)	         530(11.25)	         477(10.12)	          22(0.47)	          28(0.59)	           3(0.06)	           0(0.0)	           0(0.0)
          20	        4201(89.16)	         511(10.84)	         458(9.72)	          26(0.55)	          26(0.55)	           1(0.02)	           0(0.0)	           0(0.0)


2.2 Number of violated models for each restraint
------------------------------------------------

	Restraint ID             	No. of Violated Models   	Average Violation(A)     	Violated Models          
	2169                     	5                        	0.0519                   	1,5,6,11,15              
	2170                     	5                        	0.0953                   	1,7,9,10,14              
	2174                     	17                       	0.0135                   	2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,20
	2178                     	2                        	0.0182                   	7,19                     
	2181                     	2                        	0.0131                   	11,14                    
	2182                     	7                        	0.1473                   	1,5,6,9,11,14,15         
	2186                     	7                        	0.0219                   	2,8,12,13,17,18,20       
	2189                     	1                        	0.0091                   	14                       
	2190                     	1                        	0.001                    	14                       
	2205                     	1                        	0.0106                   	4                        
	2207                     	6                        	0.0276                   	4,5,6,10,11,15           
	2216                     	1                        	0.1139                   	4                        
	2220                     	1                        	0.0163                   	4                        
	2222                     	1                        	0.0124                   	4                        
	2228                     	1                        	0.0114                   	15                       
	2231                     	20                       	0.0575                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2243                     	20                       	0.0532                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2251                     	19                       	0.0558                   	1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2252                     	1                        	0.012                    	18                       
	2258                     	12                       	0.022                    	2,3,4,5,7,8,10,11,15,16,18,19
	2261                     	16                       	0.0313                   	1,2,3,4,5,6,9,10,11,12,14,15,16,17,18,20
	2264                     	19                       	0.0272                   	1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2270                     	20                       	0.045                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2277                     	19                       	0.0277                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20
	2278                     	5                        	0.0084                   	1,8,9,10,14              
	2282                     	20                       	0.0505                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2283                     	20                       	0.0434                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2288                     	20                       	0.0309                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2293                     	20                       	0.0611                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2299                     	4                        	0.0019                   	3,4,5,18                 
	2301                     	3                        	0.0141                   	3,10,15                  
	2316                     	20                       	0.0593                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2321                     	1                        	0.0276                   	13                       
	2324                     	2                        	0.005                    	13,17                    
	2329                     	20                       	0.0765                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2333                     	20                       	0.0593                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2345                     	4                        	0.003                    	5,11,16,19               
	2351                     	20                       	0.0293                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2355                     	20                       	0.0685                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2371                     	4                        	0.0114                   	1,7,11,15                
	2375                     	20                       	0.0517                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2380                     	20                       	0.0326                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2381                     	20                       	0.0596                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2384                     	14                       	0.0245                   	1,2,4,6,7,8,11,12,14,15,16,17,18,19
	2388                     	8                        	0.015                    	1,2,3,7,11,13,15,19      
	2390                     	8                        	0.0142                   	1,3,9,10,11,13,15,18     
	2399                     	3                        	0.0132                   	7,12,20                  
	2400                     	17                       	0.0517                   	1,2,3,4,5,6,7,9,10,12,13,14,15,16,18,19,20
	2424                     	2                        	0.0382                   	9,13                     
	2436                     	10                       	0.0179                   	1,2,3,5,10,11,13,14,19,20
	2462                     	19                       	0.0811                   	1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20
	2470                     	3                        	0.0326                   	1,7,11                   
	2471                     	3                        	0.0119                   	8,12,19                  
	2472                     	16                       	0.0392                   	2,3,4,5,6,7,8,10,11,12,14,16,17,18,19,20
	2478                     	5                        	0.1202                   	1,11,15,19,20            
	2490                     	5                        	0.0353                   	1,3,9,11,13              
	2491                     	13                       	0.0475                   	2,4,5,6,8,10,12,14,16,17,18,19,20
	2493                     	19                       	0.1436                   	1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20
	2523                     	10                       	0.0245                   	1,4,5,6,8,12,13,15,16,20 
	2532                     	9                        	0.0429                   	1,4,5,6,8,12,13,16,20    
	2534                     	3                        	0.0281                   	1,7,11                   
	2535                     	4                        	0.0733                   	5,6,15,16                
	2553                     	5                        	0.0516                   	3,9,14,15,18             
	2554                     	18                       	0.0661                   	1,2,3,4,5,6,7,8,9,11,12,13,15,16,17,18,19,20
	2557                     	6                        	0.1172                   	3,9,10,14,15,18          
	2561                     	12                       	0.0096                   	1,4,5,6,7,8,11,12,13,17,19,20
	2562                     	7                        	0.0881                   	1,3,7,9,11,13,15         
	2563                     	2                        	0.0232                   	10,16                    
	2566                     	15                       	0.0665                   	1,2,4,5,6,7,8,11,12,13,15,16,17,19,20
	2578                     	20                       	0.0216                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2579                     	1                        	0.0253                   	9                        
	2583                     	4                        	0.008                    	4,5,6,16                 
	2584                     	15                       	0.0638                   	1,2,4,5,6,7,8,11,12,13,16,17,18,19,20
	2588                     	11                       	0.0133                   	2,3,5,6,8,9,10,12,14,16,18
	2597                     	18                       	0.031                    	1,2,3,4,5,6,8,9,10,12,13,14,15,16,17,18,19,20
	2610                     	12                       	0.0306                   	2,3,5,6,9,10,12,14,17,18,19,20
	2611                     	12                       	0.0562                   	2,4,6,8,10,12,14,16,17,18,19,20
	2612                     	5                        	0.0251                   	3,7,9,11,13              
	2618                     	17                       	0.0319                   	1,2,4,5,6,7,8,9,11,12,13,15,16,17,18,19,20
	2622                     	14                       	0.0141                   	2,3,5,7,8,9,10,12,13,14,17,18,19,20
	2626                     	19                       	0.0541                   	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2634                     	20                       	0.0516                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2642                     	16                       	0.0485                   	1,2,4,5,6,7,8,11,12,13,14,15,16,17,19,20
	2647                     	2                        	0.0058                   	14,18                    
	2648                     	6                        	0.0155                   	4,8,12,14,18,19          
	2662                     	12                       	0.0166                   	1,2,3,4,7,8,10,12,14,18,19,20
	2675                     	14                       	0.0345                   	1,2,4,5,6,8,10,12,14,15,17,18,19,20
	2681                     	6                        	0.0237                   	3,6,9,10,13,18           
	2682                     	20                       	0.0646                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2685                     	14                       	0.056                    	2,3,4,6,7,9,10,12,13,16,17,18,19,20
	2686                     	8                        	0.1239                   	1,5,8,11,12,14,15,17     
	2696                     	3                        	0.0067                   	4,10,20                  
	2715                     	13                       	0.0227                   	1,2,3,5,7,8,11,13,14,17,18,19,20
	2718                     	1                        	0.003                    	9                        
	2720                     	3                        	0.0163                   	9,10,14                  
	2738                     	17                       	0.0766                   	1,2,3,4,5,7,8,9,11,12,13,14,16,17,18,19,20
	2742                     	5                        	0.0407                   	1,6,9,13,15              
	2744                     	2                        	0.0044                   	7,13                     
	2745                     	20                       	0.0611                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2754                     	20                       	0.057                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2768                     	2                        	0.0069                   	4,16                     
	2769                     	4                        	0.0476                   	7,8,13,19                
	2776                     	5                        	0.0151                   	7,8,11,13,19             
	2789                     	2                        	0.0056                   	7,17                     
	2798                     	20                       	0.0492                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2800                     	20                       	0.0569                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2801                     	9                        	0.0066                   	6,7,8,10,11,13,15,19,20  
	2803                     	1                        	0.004                    	10                       
	2805                     	1                        	0.0078                   	10                       
	2807                     	20                       	0.0285                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2809                     	2                        	0.0058                   	3,16                     
	2810                     	20                       	0.0684                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2812                     	19                       	0.0287                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20
	2823                     	20                       	0.045                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2832                     	20                       	0.0314                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2835                     	20                       	0.0357                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2854                     	13                       	0.0849                   	2,3,4,5,7,8,10,11,15,16,17,18,19
	2855                     	7                        	0.1295                   	1,6,9,12,13,14,20        
	2878                     	3                        	0.0037                   	2,10,11                  
	2887                     	20                       	0.0817                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2896                     	20                       	0.0131                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2906                     	20                       	0.0633                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2907                     	10                       	0.0064                   	1,2,4,7,9,10,12,13,14,17 
	2910                     	11                       	0.0181                   	3,5,6,7,9,14,15,16,17,18,19
	2916                     	14                       	0.008                    	1,2,3,4,6,8,12,13,14,15,16,17,19,20
	2917                     	13                       	0.0197                   	2,3,4,5,6,8,10,11,15,16,17,18,19
	2930                     	1                        	0.0141                   	10                       
	2939                     	1                        	0.0025                   	14                       
	2940                     	6                        	0.1043                   	1,3,5,14,16,19           
	2941                     	6                        	0.015                    	7,8,11,12,13,20          
	2946                     	1                        	0.0294                   	10                       
	2947                     	2                        	0.1023                   	2,10                     
	2960                     	18                       	0.0289                   	1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,19,20
	2964                     	13                       	0.0336                   	1,4,5,7,9,11,14,15,16,17,18,19,20
	2968                     	20                       	0.0417                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2969                     	18                       	0.0255                   	1,2,3,4,5,6,7,8,9,10,11,14,15,16,17,18,19,20
	2975                     	11                       	0.0153                   	1,3,4,5,6,9,10,14,15,16,19
	2976                     	10                       	0.0361                   	2,4,6,7,8,10,12,13,18,20 
	2978                     	20                       	0.0351                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2986                     	13                       	0.01                     	1,2,4,5,6,11,14,15,16,17,18,19,20
	2991                     	1                        	0.0016                   	14                       
	2994                     	2                        	0.0049                   	15,17                    
	2996                     	20                       	0.0948                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2998                     	20                       	0.0391                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3001                     	14                       	0.0488                   	1,2,3,4,5,6,7,11,15,16,17,18,19,20
	3005                     	2                        	0.121                    	10,13                    
	3007                     	15                       	0.0957                   	1,2,4,5,6,7,9,11,14,15,16,17,18,19,20
	3011                     	8                        	0.0464                   	2,3,5,8,10,12,13,17      
	3016                     	4                        	0.0153                   	3,5,6,7                  
	3023                     	8                        	0.0172                   	1,2,4,11,14,17,19,20     
	3024                     	7                        	0.0337                   	1,2,4,11,17,18,20        
	3026                     	2                        	0.0061                   	7,16                     
	3029                     	20                       	0.0801                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3030                     	19                       	0.0941                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20
	3031                     	1                        	0.0115                   	9                        
	3035                     	5                        	0.0087                   	5,6,7,12,13              
	3037                     	4                        	0.0314                   	9,10,14,19               
	3041                     	14                       	0.0226                   	1,4,5,7,8,9,10,11,13,14,16,17,19,20
	3043                     	4                        	0.0221                   	9,10,14,19               
	3045                     	1                        	0.013                    	3                        
	3046                     	20                       	0.0613                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3054                     	1                        	0.0137                   	10                       
	3059                     	1                        	0.0185                   	12                       
	3060                     	19                       	0.0535                   	1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20
	3061                     	1                        	0.0921                   	12                       
	3062                     	19                       	0.0888                   	1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20
	3064                     	1                        	0.1247                   	12                       
	3081                     	10                       	0.013                    	3,4,5,6,7,9,10,16,18,19  
	3084                     	9                        	0.0211                   	3,5,7,9,11,12,14,15,19   
	3091                     	6                        	0.0173                   	1,2,8,13,18,20           
	3092                     	19                       	0.0278                   	1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20
	3093                     	20                       	0.0773                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3095                     	5                        	0.0189                   	10,13,14,16,19           
	3096                     	7                        	0.0134                   	2,8,11,13,16,18,20       
	3108                     	3                        	0.009                    	1,6,20                   
	3109                     	19                       	0.0386                   	1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20
	3113                     	19                       	0.0394                   	1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20
	3114                     	2                        	0.1822                   	4,12                     
	3118                     	20                       	0.0907                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3124                     	20                       	0.0572                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3126                     	5                        	0.0994                   	4,12,17,18,19            
	3136                     	18                       	0.0371                   	1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20
	3146                     	5                        	0.0497                   	4,12,17,18,19            
	3147                     	12                       	0.0097                   	2,5,6,8,9,10,11,13,14,15,16,20
	3151                     	9                        	0.0263                   	3,4,5,7,8,9,12,17,19     
	3161                     	20                       	0.0658                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3169                     	7                        	0.0687                   	4,7,8,12,17,18,19        
	3170                     	18                       	0.0347                   	1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,20
	3171                     	16                       	0.0381                   	1,2,4,6,7,8,11,12,13,14,15,16,17,18,19,20
	3179                     	1                        	0.0241                   	4                        
	3182                     	19                       	0.0374                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20
	3183                     	11                       	0.0358                   	1,2,3,5,7,9,10,13,14,16,20
	3185                     	20                       	0.0248                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3190                     	20                       	0.075                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3199                     	4                        	0.011                    	1,3,5,14                 
	3200                     	12                       	0.0436                   	1,2,4,7,9,12,13,14,16,17,19,20
	3201                     	6                        	0.1035                   	6,8,10,11,15,18          
	3203                     	4                        	0.252                    	6,8,11,15                
	3212                     	20                       	0.067                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3214                     	20                       	0.0579                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3218                     	1                        	0.0188                   	19                       
	3224                     	15                       	0.0251                   	1,2,3,5,7,9,10,12,13,14,16,17,18,19,20
	3234                     	4                        	0.0367                   	6,10,15,18               
	3237                     	2                        	0.0309                   	10,18                    
	3244                     	6                        	0.0208                   	2,7,12,13,17,19          
	3247                     	20                       	0.0477                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3269                     	18                       	0.043                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19
	3274                     	10                       	0.1119                   	1,2,6,8,10,11,12,15,17,18
	3281                     	5                        	0.03                     	4,12,14,16,17            
	3284                     	7                        	0.0737                   	1,2,6,8,12,15,17         
	3289                     	18                       	0.0246                   	1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19
	3292                     	17                       	0.0505                   	1,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,20
	3297                     	19                       	0.0288                   	1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20
	3305                     	8                        	0.1791                   	1,2,4,5,11,15,18,20      
	3310                     	1                        	0.049                    	7                        
	3320                     	2                        	0.0344                   	4,14                     
	3330                     	16                       	0.0427                   	1,2,3,4,5,6,8,10,11,12,13,15,16,17,18,19
	3347                     	1                        	0.0036                   	8                        
	3354                     	1                        	0.0046                   	10                       
	3367                     	10                       	0.041                    	3,5,6,7,8,9,12,15,16,17  
	3368                     	1                        	0.0241                   	6                        
	3370                     	19                       	0.0411                   	1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20
	3386                     	1                        	0.0076                   	7                        
	3389                     	3                        	0.0041                   	11,15,17                 
	3390                     	20                       	0.0801                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3393                     	10                       	0.0078                   	1,2,4,8,11,13,14,16,18,20
	3399                     	20                       	0.0623                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3401                     	4                        	0.0054                   	5,16,18,19               
	3405                     	4                        	0.0015                   	4,11,18,20               
	3410                     	1                        	0.0001                   	1                        
	3424                     	2                        	0.0162                   	3,14                     
	3432                     	20                       	0.0263                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3438                     	20                       	0.0377                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3441                     	20                       	0.0647                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3442                     	18                       	0.0458                   	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20
	3451                     	20                       	0.0433                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3464                     	13                       	0.0875                   	2,3,4,5,7,8,10,11,15,16,17,18,19
	3465                     	13                       	0.0255                   	2,3,4,5,7,8,10,11,15,16,17,18,19
	3484                     	1                        	0.0344                   	7                        
	3489                     	8                        	0.0593                   	2,4,7,8,12,16,17,18      
	3491                     	18                       	0.0654                   	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20
	3495                     	19                       	0.0589                   	1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3496                     	18                       	0.0456                   	1,2,3,4,5,6,9,10,11,12,13,14,15,16,17,18,19,20
	3513                     	20                       	0.0298                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3536                     	1                        	0.0149                   	1                        
	3538                     	15                       	0.0586                   	2,3,4,5,9,10,11,12,13,14,16,17,18,19,20
	3553                     	12                       	0.0335                   	1,2,3,4,6,7,8,9,11,12,17,20
	3557                     	2                        	0.1326                   	1,15                     
	3560                     	3                        	0.0256                   	3,8,18                   
	3561                     	5                        	0.111                    	5,6,13,15,19             
	3563                     	1                        	0.2225                   	1                        
	3566                     	2                        	0.008                    	3,18                     
	3574                     	3                        	0.0302                   	1,15,19                  
	3575                     	2                        	0.0336                   	13,19                    
	3576                     	5                        	0.0262                   	5,6,11,13,19             
	3577                     	3                        	0.0145                   	1,2,18                   
	3579                     	2                        	0.1025                   	6,15                     
	3582                     	9                        	0.0239                   	1,2,6,7,8,10,11,12,20    
	3591                     	4                        	0.0145                   	3,7,8,18                 
	3599                     	1                        	0.0137                   	13                       
	3610                     	20                       	0.0965                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3616                     	20                       	0.066                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3623                     	8                        	0.0273                   	4,5,6,7,9,10,14,16       
	3638                     	20                       	0.062                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3639                     	5                        	0.0697                   	2,11,13,17,18            
	3650                     	6                        	0.0229                   	3,4,7,8,12,20            
	3651                     	1                        	0.0036                   	8                        
	3677                     	6                        	0.006                    	5,6,10,14,15,16          
	3681                     	13                       	0.0223                   	2,6,7,8,9,11,13,15,16,17,18,19,20
	3690                     	20                       	0.0838                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3692                     	12                       	0.0261                   	1,3,4,5,6,7,9,10,12,14,16,19
	3695                     	19                       	0.0193                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
	3697                     	12                       	0.0129                   	1,4,6,7,8,12,13,15,16,17,19,20
	3698                     	2                        	0.071                    	10,12                    
	3703                     	5                        	0.0082                   	2,3,11,13,18             
	3718                     	2                        	0.0097                   	11,18                    
	3720                     	15                       	0.0365                   	1,3,4,5,6,7,8,9,10,12,14,15,16,19,20
	3725                     	5                        	0.0906                   	2,11,13,17,18            
	3728                     	6                        	0.0287                   	2,11,13,17,18,19         
	3730                     	6                        	0.0149                   	6,7,10,12,15,19          
	3732                     	5                        	0.0172                   	2,11,13,17,18            
	3734                     	15                       	0.1248                   	1,3,4,5,6,7,8,9,10,12,14,15,16,19,20
	3740                     	11                       	0.0129                   	1,3,5,6,7,9,14,15,16,19,20
	3742                     	1                        	0.0                      	17                       
	3749                     	18                       	0.0508                   	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20
	3751                     	7                        	0.0331                   	1,5,8,11,12,15,17        
	3752                     	1                        	0.0072                   	2                        
	3753                     	20                       	0.0714                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3762                     	2                        	0.0241                   	12,17                    
	3763                     	12                       	0.0683                   	2,3,4,6,7,9,10,13,16,18,19,20
	3772                     	2                        	0.0144                   	9,20                     
	3773                     	12                       	0.0333                   	1,3,4,6,7,8,9,10,13,15,16,20
	3778                     	20                       	0.046                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3785                     	6                        	0.045                    	1,8,9,15,16,20           
	3793                     	14                       	0.0904                   	2,3,4,5,6,7,10,11,12,13,14,17,18,19
	3796                     	5                        	0.0189                   	1,8,15,16,20             
	3797                     	6                        	0.1174                   	1,8,9,15,16,20           
	3798                     	13                       	0.0386                   	2,3,4,6,7,10,11,12,13,14,17,18,19
	3799                     	6                        	0.0342                   	1,8,9,15,16,20           
	3821                     	18                       	0.0415                   	1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,19,20
	3846                     	15                       	0.0253                   	1,2,3,4,6,7,9,10,12,13,15,16,18,19,20
	3867                     	13                       	0.0708                   	1,2,5,6,8,9,11,12,14,15,16,17,19
	3868                     	18                       	0.0507                   	1,2,3,4,5,6,7,8,10,11,13,14,15,16,17,18,19,20
	3871                     	20                       	0.0657                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3873                     	2                        	0.0089                   	2,7                      
	3883                     	1                        	0.0083                   	6                        
	3886                     	1                        	0.0008                   	12                       
	3896                     	4                        	0.0188                   	5,6,15,16                
	3898                     	7                        	0.0487                   	4,7,10,13,14,17,18       
	3900                     	1                        	0.0409                   	12                       
	3901                     	3                        	0.1762                   	9,12,20                  
	3905                     	3                        	0.0184                   	9,12,16                  
	3916                     	12                       	0.0101                   	1,3,5,6,8,11,13,14,15,16,17,19
	3917                     	2                        	0.0159                   	3,11                     
	3919                     	20                       	0.0795                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3921                     	1                        	0.0074                   	2                        
	3922                     	2                        	0.0308                   	2,8                      
	3930                     	20                       	0.0865                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3944                     	20                       	0.0997                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3953                     	1                        	0.0103                   	2                        
	3955                     	3                        	0.004                    	12,13,20                 
	3956                     	4                        	0.0269                   	5,10,16,18               
	3961                     	2                        	0.0051                   	5,11                     
