	1850                     	1                        	0.063                    	10                       
	1854                     	1                        	0.0004                   	7                        
	1877                     	2                        	0.0066                   	7,8                      
	1886                     	5                        	0.0591                   	5,8,14,15,18             
	1889                     	1                        	0.101                    	17                       
	1890                     	3                        	0.0294                   	3,11,16                  
	1891                     	2                        	0.0392                   	8,13                     
	1895                     	1                        	0.0258                   	12                       
	1898                     	1                        	0.0389                   	19                       
	1913                     	1                        	0.0332                   	3                        
	1943                     	1                        	0.0729                   	10                       
	1947                     	3                        	0.0715                   	1,3,13                   
	1948                     	1                        	0.0114                   	13                       
	1951                     	1                        	0.0658                   	19                       
	1964                     	1                        	0.0087                   	5                        
	1991                     	3                        	0.0235                   	6,14,15                  
	1993                     	1                        	0.0126                   	8                        
	2000                     	1                        	0.0191                   	12                       
	2004                     	1                        	0.0685                   	9                        
	2005                     	1                        	0.0818                   	3                        
	2014                     	1                        	0.0523                   	11                       
	2016                     	2                        	0.0203                   	9,13                     
	2026                     	1                        	0.067                    	8                        
	2035                     	1                        	0.0098                   	10                       
	2041                     	2                        	0.0881                   	2,16                     
	2072                     	1                        	0.0113                   	20                       
	2076                     	1                        	0.0151                   	9                        
	2127                     	1                        	0.2692                   	6                        
	2132                     	4                        	0.0155                   	1,7,10,19                
	2142                     	1                        	0.0138                   	17                       
	2146                     	2                        	0.0803                   	8,10                     
	2147                     	2                        	0.1332                   	9,10                     
	2150                     	3                        	0.0445                   	4,8,20                   
	2154                     	2                        	0.0038                   	1,5                      
	2155                     	1                        	0.0488                   	19                       
	2170                     	1                        	0.0057                   	8                        
	2172                     	1                        	0.0052                   	8                        
	2177                     	2                        	0.0401                   	9,13                     
	2204                     	1                        	0.1439                   	10                       
	2208                     	1                        	0.1178                   	10                       
	2210                     	3                        	0.0178                   	9,12,13                  
	2215                     	3                        	0.0409                   	5,7,19                   
	2217                     	5                        	0.0515                   	3,11,16,17,19            
	2218                     	1                        	0.0178                   	8                        
	2250                     	10                       	0.0386                   	1,2,3,5,6,7,8,16,17,19   
	2265                     	2                        	0.089                    	7,12                     
	2267                     	1                        	0.0598                   	9                        
	2269                     	1                        	0.0166                   	8                        
	2270                     	1                        	0.0082                   	11                       
	2284                     	1                        	0.0683                   	16                       
	2302                     	11                       	0.0363                   	1,5,8,9,10,11,12,13,14,18,19
	2314                     	3                        	0.0586                   	9,10,11                  
	2332                     	10                       	0.0449                   	2,3,5,10,15,16,17,18,19,20
	2355                     	1                        	0.2399                   	7                        
	2360                     	1                        	0.1416                   	11                       
	2380                     	8                        	0.0677                   	1,2,7,8,10,12,13,17      
	2392                     	1                        	0.0151                   	12                       
	2393                     	1                        	0.062                    	1                        
	2395                     	3                        	0.0738                   	5,6,16                   
	2429                     	1                        	0.0059                   	10                       
	2437                     	1                        	0.0505                   	15                       
	2446                     	1                        	0.0152                   	7                        
	2456                     	2                        	0.0532                   	18,19                    
	2458                     	2                        	0.0496                   	5,17                     
	2464                     	1                        	0.1465                   	18                       
	2465                     	1                        	0.1575                   	19                       
	2467                     	1                        	0.0199                   	7                        
	2477                     	2                        	0.0444                   	4,9                      
	2494                     	2                        	0.0465                   	2,16                     
	7                        	3                        	0.0126                   	1,11,18                  
	11                       	3                        	0.011                    	14,15,19                 
	15                       	14                       	0.0274                   	1,2,5,7,8,9,10,11,12,13,15,18,19,20
	17                       	1                        	0.0016                   	17                       
	19                       	3                        	0.0406                   	4,15,16                  
	21                       	4                        	0.0216                   	8,9,12,16                
	27                       	1                        	0.0552                   	11                       
	29                       	1                        	0.0016                   	11                       
	31                       	10                       	0.0282                   	1,2,6,9,10,12,13,14,18,19
	35                       	20                       	0.0546                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	39                       	3                        	0.0265                   	4,14,16                  

2.3 Distance restraint violations summary
-----------------------------------------

	                                                                 	Intrresidue         	Sequential          	Medium-range        	Long-range          	Total               

