	2148                     	1                        	0.0292                   	2                        
	2149                     	3                        	0.029                    	6,12,18                  
	2150                     	2                        	0.0355                   	3,9                      
	2161                     	1                        	0.1568                   	5                        
	2165                     	18                       	0.0918                   	1,2,3,4,5,6,7,8,9,11,13,14,15,16,17,18,19,20
	2183                     	16                       	0.0396                   	1,4,6,7,8,9,10,11,12,14,15,16,17,18,19,20
	2197                     	4                        	0.0119                   	1,11,13,16               
	2207                     	1                        	0.0237                   	7                        
	2227                     	4                        	0.0349                   	5,7,12,17                
	2228                     	20                       	0.1129                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2247                     	5                        	0.0555                   	2,5,8,9,16               
	2262                     	1                        	0.0262                   	6                        
	2270                     	2                        	0.0697                   	4,10                     
	2272                     	1                        	0.0018                   	5                        
	2284                     	2                        	0.0892                   	5,7                      
	2285                     	2                        	0.0355                   	8,17                     
	2287                     	1                        	0.0015                   	4                        
	2288                     	1                        	0.0019                   	4                        
	2290                     	1                        	0.0585                   	18                       
	2291                     	2                        	0.0606                   	3,16                     
	2299                     	9                        	0.1148                   	2,4,7,9,11,14,16,17,19   
	2340                     	2                        	0.015                    	9,20                     
	2365                     	18                       	0.0432                   	1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,18,19,20
	2370                     	19                       	0.0381                   	1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20
	2407                     	1                        	0.0191                   	16                       
	2412                     	2                        	0.0259                   	4,7                      
	2424                     	1                        	0.0177                   	6                        
	2425                     	1                        	0.0454                   	11                       
	2460                     	2                        	0.0526                   	1,4                      
	2467                     	2                        	0.0241                   	5,13                     
	2489                     	1                        	0.0246                   	4                        
	2490                     	4                        	0.0725                   	2,3,5,13                 
	2533                     	2                        	0.0113                   	13,17                    
	2554                     	1                        	0.0911                   	3                        
	2570                     	18                       	0.0545                   	2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2573                     	9                        	0.0411                   	2,4,6,7,9,16,17,18,20    
	2601                     	13                       	0.0542                   	1,4,5,6,7,8,13,14,15,16,17,18,19
	2603                     	14                       	0.0534                   	1,3,4,5,7,8,9,11,12,13,16,17,18,20
	2604                     	12                       	0.0731                   	2,6,7,9,10,11,12,13,14,15,17,20
	2614                     	1                        	0.097                    	6                        
	2615                     	1                        	0.0568                   	17                       
	2620                     	2                        	0.0677                   	11,13                    
	2627                     	4                        	0.0599                   	1,5,8,17                 
	2633                     	2                        	0.033                    	1,17                     
	2649                     	2                        	0.0644                   	7,8                      
	2655                     	2                        	0.0311                   	2,15                     
	2684                     	1                        	0.0481                   	10                       
	2702                     	1                        	0.1206                   	16                       
	2720                     	1                        	0.02                     	6                        
	2733                     	3                        	0.0645                   	5,9,17                   
	2737                     	1                        	0.027                    	17                       
	2752                     	1                        	0.0316                   	1                        
	2795                     	2                        	0.0435                   	7,15                     
	2797                     	4                        	0.0141                   	3,9,18,20                
	2799                     	1                        	0.0571                   	15                       
	2855                     	3                        	0.012                    	4,11,15                  
	2859                     	1                        	0.0271                   	5                        
	2862                     	1                        	0.0919                   	14                       
	1                        	20                       	0.05                     	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2                        	11                       	0.0225                   	1,3,8,10,11,12,13,14,16,17,20
	3                        	20                       	0.0398                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4                        	1                        	0.0003                   	12                       
	5                        	19                       	0.0404                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
	7                        	17                       	0.0268                   	1,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20
	8                        	4                        	0.0171                   	8,12,14,15               
	9                        	20                       	0.0969                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	10                       	14                       	0.024                    	1,2,3,7,8,9,10,13,14,15,16,17,19,20
	11                       	8                        	0.0313                   	2,6,8,11,13,14,15,19     
	13                       	20                       	0.0419                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	14                       	10                       	0.0076                   	2,6,7,10,11,13,14,15,16,19
	15                       	11                       	0.0207                   	2,4,6,7,9,10,12,13,15,18,19
	16                       	1                        	0.0274                   	5                        
	17                       	1                        	0.005                    	1                        
	19                       	20                       	0.0703                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	20                       	10                       	0.0132                   	1,2,3,5,6,8,10,14,15,19  
	21                       	20                       	0.0684                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	23                       	20                       	0.0293                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	25                       	3                        	0.0116                   	3,6,8                    
	27                       	17                       	0.028                    	1,3,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20
	28                       	1                        	0.0131                   	18                       
	29                       	17                       	0.0388                   	3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20
	30                       	7                        	0.0089                   	4,7,11,14,15,17,18       

2.3 Distance restraint violations summary
-----------------------------------------

	                                                                 	Intrresidue         	Sequential          	Medium-range        	Long-range          	Total               

