	2541                     	6                        	0.0883                   	3,6,8,9,12,20            
	2542                     	1                        	0.1389                   	1                        
	2543                     	2                        	0.067                    	1,6                      
	2552                     	2                        	0.0362                   	12,18                    
	2565                     	2                        	0.0907                   	3,9                      
	2579                     	1                        	0.0704                   	14                       
	2586                     	9                        	0.0856                   	3,7,8,9,10,11,12,13,20   
	2604                     	1                        	0.0598                   	4                        
	2607                     	1                        	0.0551                   	8                        
	2612                     	1                        	0.0441                   	16                       
	2637                     	3                        	0.0093                   	3,5,18                   
	2638                     	1                        	0.0339                   	12                       
	2652                     	1                        	0.0449                   	12                       
	2656                     	8                        	0.0509                   	2,7,8,11,12,16,17,19     
	2660                     	1                        	0.0663                   	15                       
	2671                     	4                        	0.087                    	1,5,16,18                
	2680                     	1                        	0.0064                   	2                        
	2681                     	2                        	0.017                    	7,10                     
	2687                     	1                        	0.1726                   	4                        
	2688                     	1                        	0.0179                   	19                       
	2694                     	4                        	0.0718                   	4,5,11,16                
	2695                     	2                        	0.1189                   	4,14                     
	2702                     	3                        	0.0184                   	5,8,16                   
	2707                     	13                       	0.0795                   	1,2,3,4,5,6,8,11,14,17,18,19,20
	2709                     	1                        	0.0001                   	7                        
	2714                     	3                        	0.0678                   	13,15,18                 
	2728                     	1                        	0.072                    	15                       
	2746                     	1                        	0.0607                   	16                       
	2758                     	1                        	0.0795                   	8                        
	2779                     	1                        	0.042                    	2                        
	2780                     	5                        	0.0861                   	4,8,10,17,19             
	2781                     	1                        	0.1325                   	2                        
	2784                     	2                        	0.056                    	4,14                     
	2788                     	9                        	0.0718                   	2,4,5,8,10,12,13,18,19   
	2806                     	3                        	0.0292                   	6,12,13                  
	2825                     	17                       	0.05                     	1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19
	2829                     	1                        	0.057                    	8                        
	2836                     	1                        	0.0111                   	10                       
	2889                     	3                        	0.0645                   	2,11,18                  
	2892                     	6                        	0.1255                   	1,5,6,7,16,20            
	2894                     	1                        	0.0038                   	16                       
	2905                     	1                        	0.1064                   	2                        
	2908                     	2                        	0.0189                   	16,18                    
	2921                     	3                        	0.069                    	9,12,14                  
	2927                     	1                        	0.0654                   	11                       
	2951                     	1                        	0.0235                   	8                        
	2953                     	12                       	0.0593                   	4,5,7,8,11,12,13,15,17,18,19,20
	2965                     	3                        	0.0389                   	5,8,10                   
	2968                     	1                        	0.0285                   	4                        
	2976                     	2                        	0.0299                   	8,14                     
	2978                     	1                        	0.0159                   	14                       
	2980                     	15                       	0.0447                   	1,2,3,5,7,9,10,11,12,13,14,15,17,19,20
	2981                     	5                        	0.0325                   	1,7,10,12,15             
	2985                     	1                        	0.0042                   	19                       
	2989                     	3                        	0.1481                   	2,5,7                    
	2993                     	2                        	0.1195                   	4,11                     
	2994                     	2                        	0.0394                   	1,15                     
	2996                     	1                        	0.0423                   	1                        
	2999                     	1                        	0.0522                   	10                       
	3006                     	2                        	0.0908                   	2,20                     
	3030                     	8                        	0.0373                   	1,5,9,11,14,15,16,18     
	3050                     	2                        	0.0512                   	1,14                     
	3054                     	1                        	0.0754                   	13                       
	3059                     	2                        	0.0092                   	1,11                     
	3066                     	1                        	0.0136                   	1                        
	3084                     	2                        	0.043                    	5,17                     
	3099                     	1                        	0.0633                   	3                        
	3121                     	1                        	0.2149                   	18                       
	3123                     	1                        	0.0102                   	2                        
	3130                     	3                        	0.0293                   	1,7,19                   
	3134                     	1                        	0.0744                   	20                       
	3142                     	2                        	0.0512                   	7,10                     
	3146                     	1                        	0.023                    	8                        
	3148                     	5                        	0.0719                   	6,9,10,13,19             
	3160                     	1                        	0.0024                   	3                        
	3179                     	1                        	0.047                    	16                       
	3181                     	1                        	0.1099                   	9                        
	3191                     	1                        	0.0099                   	10                       
	3201                     	1                        	0.0556                   	19                       
	3210                     	1                        	0.131                    	1                        
	3214                     	2                        	0.0343                   	6,15                     
	3218                     	6                        	0.0798                   	2,6,9,16,17,18           
	3228                     	1                        	0.0653                   	1                        
	3232                     	1                        	0.3015                   	5                        
	3235                     	2                        	0.1258                   	7,11                     
	3246                     	1                        	0.064                    	16                       
	3254                     	1                        	0.1349                   	1                        
	3262                     	2                        	0.0072                   	5,7                      
	3275                     	1                        	0.1169                   	7                        
	3277                     	7                        	0.0563                   	4,8,10,12,13,15,16       
	3278                     	3                        	0.1906                   	3,17,20                  
	3301                     	2                        	0.0991                   	17,18                    
	3315                     	1                        	0.01                     	14                       
	3350                     	2                        	0.0443                   	1,7                      
	3359                     	1                        	0.0067                   	2                        
	3375                     	1                        	0.0387                   	16                       
	3379                     	1                        	0.0283                   	2                        
	3381                     	1                        	0.0917                   	10                       
	3385                     	2                        	0.0804                   	9,10                     
	3418                     	3                        	0.0263                   	1,16,18                  
