	19                       	5                        	0.032                    	5,6,9,18,20              
	21                       	20                       	0.0846                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	22                       	9                        	0.0227                   	1,3,9,13,14,16,17,19,20  
	25                       	14                       	0.0616                   	1,2,3,5,6,9,10,11,13,14,15,17,18,19
	27                       	2                        	0.0143                   	9,15                     
	29                       	18                       	0.0437                   	1,2,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20
	33                       	20                       	0.1411                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	34                       	2                        	0.0075                   	3,18                     
	35                       	20                       	0.1746                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	36                       	5                        	0.0093                   	2,3,4,11,15              

2.3 Distance restraint violations summary
-----------------------------------------

	                                                                 	Intrresidue         	Sequential          	Medium-range        	Long-range          	Total               

	Number of consistently violated restraints (violated in all models)	     0 (0.0%)       	     0 (0.0%)       	     3 (0.27%)      	     3 (0.27%)      	     6 (0.54%)      
	Number of violated restraints (at least in one model)            	    12 (1.08%)      	    38 (3.43%)      	    29 (2.62%)      	    94 (8.48%)      	   173 (15.61%)     
	Number of non violated restraints                                	   308 (27.8%)      	   242 (21.84%)     	   108 (9.75%)      	   277 (25.0%)      	   935 (84.39%)     
	Total number of restraints                                       	   320 (28.88%)     	   280 (25.27%)     	   137 (12.36%)     	   371 (33.48%)     	  1108 (100.0%)     


2.4 List of largest 10 distance violations
------------------------------------------

	Restraint ID                  	Model ID                      	|Exp. value - Model value|A   

	1069                          	15                            	0.4093                        
	680                           	5                             	0.295                         
	680                           	13                            	0.2911                        
	790                           	7                             	0.2596                        
	15                            	5                             	0.2529                        
	262                           	13                            	0.2526                        
	159                           	16                            	0.2351                        
	680                           	1                             	0.2336                        
	262                           	15                            	0.231                         
	35                            	2                             	0.2274                        


2.5 List of largest 10 average distance violations
--------------------------------------------------

	Restraint ID                  	Number of Models              	|Exp. value - Model value|A   

	262                           	4                             	0.1997                        
	680                           	7                             	0.1941                        
	15                            	20                            	0.1824                        
	35                            	20                            	0.1746                        
	1069                          	3                             	0.1657                        
	231                           	5                             	0.1532                        
	825                           	1                             	0.1416                        
	33                            	20                            	0.1411                        
	174                           	1                             	0.1394                        
	16                            	20                            	0.133                         
========================================================================================================================

3. Angle restraints summary
---------------------------

	Total number of restraints                                    =    70 (100.0%)
	Torsion angle Name PHI                                        =    35 (50.0%)
	Torsion angle Name PSI                                        =    35 (50.0%)


4. Angle restraint violations
------------------------------

4.1 Number of violated restraints for each model
------------------------------------------------

       Model	Not Violated (%)	    Violated (%)	         0-5 (%)	        5-10 (%)	       10-20 (%)	       20-40 (%)	       40-80 (%)	         >80 (%)

           1	          65(92.86)	           5(7.14)	           5(7.14)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           2	          64(91.43)	           6(8.57)	           6(8.57)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           3	          65(92.86)	           5(7.14)	           5(7.14)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           4	          68(97.14)	           2(2.86)	           2(2.86)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           5	          63(90.0)	           7(10.0)	           7(10.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           6	          65(92.86)	           5(7.14)	           5(7.14)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           7	          67(95.71)	           3(4.29)	           3(4.29)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           8	          67(95.71)	           3(4.29)	           3(4.29)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           9	          66(94.29)	           4(5.71)	           4(5.71)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          10	          65(92.86)	           5(7.14)	           5(7.14)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          11	          70(100.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          12	          69(98.57)	           1(1.43)	           1(1.43)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          13	          63(90.0)	           7(10.0)	           7(10.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          14	          62(88.57)	           8(11.43)	           8(11.43)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          15	          63(90.0)	           7(10.0)	           7(10.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          16	          66(94.29)	           4(5.71)	           4(5.71)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          17	          66(94.29)	           4(5.71)	           4(5.71)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          18	          66(94.29)	           4(5.71)	           4(5.71)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          19	          64(91.43)	           6(8.57)	           6(8.57)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          20	          69(98.57)	           1(1.43)	           1(1.43)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)


4.2 Number of violated models for each restraint
------------------------------------------------

	Restraint ID             	No. of Violated Models   	Average Violation(A)     	Violated Models          

	2                        	6                        	1.2856                   	1,2,4,9,10,13            
	3                        	1                        	0.6095                   	15                       
	5                        	4                        	0.497                    	3,13,18,19               
	7                        	2                        	1.4026                   	15,17                    
	8                        	1                        	0.2959                   	19                       
	10                       	2                        	1.1978                   	13,19                    
	15                       	2                        	0.4607                   	7,18                     
	16                       	5                        	0.5848                   	4,7,8,12,18              
	19                       	2                        	0.8812                   	3,5                      
	22                       	2                        	0.2913                   	1,13                     
	23                       	3                        	1.0465                   	1,3,6                    
	26                       	2                        	1.6209                   	14,15                    
	31                       	1                        	0.8831                   	10                       
	32                       	2                        	1.4741                   	5,14                     
	34                       	1                        	0.9497                   	2                        
	36                       	2                        	2.1195                   	2,15                     
	38                       	1                        	0.3949                   	17                       
	39                       	3                        	0.824                    	5,15,16                  
	40                       	2                        	0.3686                   	2,14                     
	41                       	5                        	1.2551                   	2,5,13,14,15             
	42                       	2                        	1.1289                   	2,14                     
	43                       	4                        	0.4974                   	1,10,17,19               
	47                       	3                        	1.0863                   	6,14,16                  
	52                       	4                        	0.9625                   	3,5,7,13                 
	53                       	3                        	0.6696                   	6,14,18                  
	54                       	8                        	0.8258                   	3,6,8,9,14,15,16,19      
	58                       	2                        	0.4903                   	10,16                    
	59                       	2                        	0.2736                   	1,10                     
	64                       	1                        	0.1932                   	5                        
	68                       	7                        	0.9425                   	5,6,8,9,13,19,20         
	69                       	1                        	0.088                    	9                        
	70                       	1                        	0.4149                   	17                       

4.3 Angle restraint violations summary
--------------------------------------

	Number of consistently violated restraints (violated in all models)     =     0 (0.0%)
	Number of violated restraints (at least in one model)                   =    32 (45.71%)
	Number of non violated restraints                                       =    38 (54.29%)
	Total number of restraints                                              =    70 (100.0%)


4.4 List of largest 10 angle violations
---------------------------------------

	Restraint ID                  	Model ID                      	|Exp. value - Model value|A   

	2                             	2                             	2.5052                        
	26                            	14                            	2.4707                        
	36                            	2                             	2.4664                        
	23                            	6                             	2.3063                        
	2                             	9                             	2.1504                        
	41                            	5                             	2.0823                        
	10                            	13                            	2.0504                        
	42                            	2                             	1.9529                        
	32                            	5                             	1.8515                        
	41                            	13                            	1.8197                        


4.5 List of largest 10 average angle violations
-----------------------------------------------

	Restraint ID                  	Number of models              	|Exp. value - Model value|A   

	36                            	2                             	2.1195                        
	26                            	2                             	1.6209                        
	32                            	2                             	1.4741                        
	7                             	2                             	1.4026                        
	2                             	6                             	1.2856                        
	41                            	5                             	1.2551                        
	10                            	2                             	1.1978                        
	42                            	2                             	1.1289                        
	47                            	3                             	1.0863                        
	23                            	3                             	1.0465                        
========================================================================================================================

