	3404                     	14                       	0.126                    	1,2,3,4,5,6,8,10,12,13,15,16,19,20
	3427                     	5                        	0.0381                   	11,13,15,16,19           
	3441                     	20                       	0.136                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3461                     	1                        	0.1135                   	3                        
	3478                     	2                        	0.0931                   	2,8                      
	3492                     	2                        	0.064                    	8,12                     
	3495                     	16                       	0.0903                   	1,2,3,4,5,6,7,9,10,11,14,15,16,17,18,20
	3496                     	6                        	0.0546                   	8,12,13,15,16,19         
	3500                     	2                        	0.0125                   	8,16                     
	3501                     	1                        	0.0105                   	12                       
	3515                     	9                        	0.0497                   	2,5,10,11,13,14,15,16,20 
	3520                     	1                        	0.0381                   	18                       
	3526                     	5                        	0.0208                   	7,9,10,14,20             
	3527                     	14                       	0.0678                   	1,3,4,6,7,8,9,10,11,13,17,18,19,20
	3552                     	3                        	0.0533                   	6,12,17                  
	3572                     	3                        	0.0145                   	9,11,16                  
	3576                     	2                        	0.0867                   	11,19                    
	3580                     	1                        	0.0621                   	6                        
	3582                     	6                        	0.0266                   	4,5,8,12,15,16           
	3583                     	7                        	0.0437                   	1,4,5,10,12,15,16        
	3591                     	1                        	0.0441                   	20                       
	3597                     	8                        	0.0392                   	1,3,4,8,10,12,15,16      
	3604                     	2                        	0.0775                   	2,11                     
	3605                     	2                        	0.0631                   	4,8                      
	3606                     	4                        	0.0884                   	7,11,13,20               
	3615                     	1                        	0.1035                   	7                        
	3619                     	2                        	0.0232                   	17,18                    
	3620                     	1                        	0.078                    	17                       
	3632                     	10                       	0.1081                   	3,4,6,7,10,11,12,14,16,17
	3638                     	6                        	0.0531                   	1,2,4,7,8,15             
	3660                     	2                        	0.0099                   	7,11                     
	3668                     	3                        	0.0457                   	6,13,19                  
	3680                     	3                        	0.0125                   	9,12,14                  
	3681                     	6                        	0.0354                   	3,8,11,12,18,19          
	3700                     	4                        	0.0178                   	10,11,16,19              
	3712                     	3                        	0.0961                   	3,9,13                   
	3714                     	5                        	0.0207                   	1,5,6,9,15               
	3716                     	1                        	0.0367                   	10                       
	3722                     	3                        	0.1022                   	8,12,14                  
	3723                     	1                        	0.0752                   	13                       
	3732                     	1                        	0.0177                   	9                        
	3738                     	1                        	0.0485                   	13                       
	3742                     	2                        	0.0535                   	3,13                     
	3746                     	2                        	0.0386                   	6,12                     
	3751                     	1                        	0.012                    	18                       
	3764                     	9                        	0.0258                   	1,2,3,7,9,13,17,19,20    
	3767                     	1                        	0.0222                   	9                        
	3772                     	10                       	0.103                    	3,8,9,10,12,13,14,15,16,18
	3773                     	18                       	0.0488                   	1,2,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20
	3774                     	2                        	0.2198                   	3,9                      
	3775                     	1                        	0.0058                   	19                       
	3776                     	1                        	0.1731                   	3                        
	3780                     	2                        	0.019                    	7,14                     
	3791                     	1                        	0.0196                   	6                        
	3808                     	14                       	0.0645                   	1,2,3,4,6,8,9,10,11,14,15,16,18,19
	3818                     	1                        	0.042                    	4                        
	3819                     	4                        	0.0381                   	5,12,13,19               
	3824                     	10                       	0.0981                   	1,2,3,8,10,11,12,16,18,19
	3833                     	11                       	0.0439                   	1,2,3,4,5,6,8,9,13,15,20 
	3835                     	7                        	0.0098                   	5,12,15,17,18,19,20      
	3841                     	1                        	0.0173                   	1                        
	3853                     	2                        	0.0087                   	2,17                     
	3858                     	2                        	0.0911                   	3,8                      
	3893                     	1                        	0.014                    	8                        
	3898                     	1                        	0.0083                   	5                        
	3904                     	1                        	0.0212                   	8                        
	3905                     	1                        	0.0065                   	6                        
	3911                     	1                        	0.0208                   	18                       
	3913                     	9                        	0.0436                   	1,4,7,8,9,10,12,15,16    
	3923                     	3                        	0.0101                   	1,17,20                  
	3928                     	1                        	0.0197                   	18                       
	3934                     	2                        	0.0712                   	3,10                     
	3940                     	10                       	0.1532                   	1,2,3,4,5,7,9,13,14,19   
	3943                     	7                        	0.0166                   	1,3,7,12,13,18,20        
	3950                     	2                        	0.0078                   	7,14                     
	3952                     	1                        	0.0045                   	15                       
	3953                     	1                        	0.069                    	1                        
	3958                     	2                        	0.059                    	8,12                     
	3959                     	12                       	0.0794                   	1,2,3,4,6,7,9,10,12,13,17,20
	3966                     	1                        	0.0493                   	12                       
	3967                     	1                        	0.0499                   	11                       
	3981                     	8                        	0.0813                   	1,5,6,8,15,17,18,19      
	3983                     	18                       	0.0534                   	1,2,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20
	3989                     	9                        	0.0277                   	1,3,7,9,10,12,14,17,19   
	4007                     	2                        	0.0317                   	3,13                     
	4011                     	1                        	0.0086                   	2                        
	4015                     	8                        	0.0396                   	4,5,9,10,11,13,14,16     
	4016                     	20                       	0.0996                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4028                     	1                        	0.0061                   	18                       
	4030                     	6                        	0.0623                   	5,11,15,17,18,20         
	4032                     	1                        	0.0271                   	15                       
	4058                     	1                        	0.1304                   	8                        
	4071                     	20                       	0.0852                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4084                     	1                        	0.0305                   	13                       
	4085                     	3                        	0.025                    	4,13,14                  
	4096                     	7                        	0.0623                   	1,6,9,10,16,18,19        
	4097                     	8                        	0.0823                   	4,6,10,12,14,15,17,19    
	4108                     	2                        	0.0136                   	10,20                    
	4129                     	2                        	0.0451                   	4,8                      
	4131                     	5                        	0.0273                   	3,4,9,17,19              
	4147                     	1                        	0.0404                   	20                       
	4159                     	1                        	0.0259                   	3                        
	4161                     	3                        	0.0632                   	6,11,13                  
	4173                     	1                        	0.0227                   	14                       
	4177                     	2                        	0.0404                   	7,8                      
	4180                     	1                        	0.0474                   	12                       
	4186                     	2                        	0.1014                   	14,15                    
	4187                     	1                        	0.0695                   	17                       
	4190                     	1                        	0.0287                   	5                        
	4192                     	1                        	0.027                    	6                        
	4196                     	1                        	0.1049                   	19                       
	4198                     	2                        	0.0458                   	13,19                    
	4203                     	1                        	0.0209                   	9                        
	4204                     	1                        	0.0371                   	1                        
	4205                     	1                        	0.0693                   	5                        
	4214                     	8                        	0.063                    	1,3,4,6,12,15,18,19      
	4215                     	1                        	0.0068                   	20                       
	4218                     	1                        	0.1043                   	4                        
	4232                     	1                        	0.067                    	16                       
	4234                     	1                        	0.0184                   	17                       
	4237                     	6                        	0.0606                   	2,4,9,14,15,18           
	4243                     	10                       	0.0269                   	1,3,4,6,9,10,11,12,13,16 
	4250                     	3                        	0.047                    	4,9,10                   
	4271                     	4                        	0.0179                   	8,11,16,17               
	4273                     	17                       	0.0947                   	1,2,3,4,5,7,8,9,10,11,12,13,15,16,17,18,20
	4283                     	1                        	0.0313                   	6                        
	4290                     	2                        	0.0283                   	15,18                    
	4291                     	1                        	0.051                    	2                        
	4311                     	1                        	0.0268                   	11                       
	4314                     	2                        	0.044                    	14,16                    
	4317                     	12                       	0.0738                   	2,5,6,7,9,10,11,15,16,18,19,20
	4320                     	6                        	0.0125                   	1,3,12,13,14,17          
	4326                     	17                       	0.1661                   	1,2,3,4,5,7,8,9,10,11,12,13,16,17,18,19,20
	4334                     	2                        	0.1021                   	4,6                      
	4335                     	1                        	0.1669                   	20                       
	4338                     	1                        	0.0735                   	2                        
	4342                     	3                        	0.0235                   	13,14,18                 
	4343                     	19                       	0.1511                   	1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4344                     	7                        	0.103                    	1,5,7,8,9,13,20          
	4346                     	4                        	0.0379                   	7,12,15,17               
	4348                     	1                        	0.0107                   	2                        
	4353                     	1                        	0.0601                   	14                       
	4358                     	6                        	0.0682                   	3,5,10,13,16,17          
	4362                     	17                       	0.0747                   	2,3,4,5,6,7,9,10,11,12,13,14,16,17,18,19,20
	4366                     	2                        	0.1004                   	3,13                     
	4368                     	3                        	0.0221                   	1,11,18                  
	4373                     	2                        	0.1042                   	9,13                     
	4390                     	1                        	0.0195                   	13                       
	4393                     	2                        	0.0234                   	8,16                     
	4399                     	1                        	0.0004                   	10                       
	4400                     	1                        	0.0587                   	10                       
	4414                     	20                       	0.0499                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4423                     	2                        	0.221                    	8,10                     
	4427                     	1                        	0.0027                   	10                       
	4438                     	6                        	0.0533                   	1,5,14,15,19,20          
	4451                     	1                        	0.0077                   	19                       
	4460                     	1                        	0.0189                   	19                       
	4528                     	4                        	0.0469                   	3,5,9,20                 
	4554                     	6                        	0.0533                   	4,5,8,12,16,19           
	4556                     	9                        	0.0593                   	1,4,5,6,8,10,13,17,19    
	4569                     	2                        	0.0589                   	10,18                    
	4570                     	3                        	0.0081                   	8,12,19                  
	4573                     	2                        	0.0594                   	7,16                     
	4574                     	1                        	0.044                    	1                        
	4600                     	1                        	0.0738                   	6                        
	4602                     	3                        	0.031                    	1,2,4                    
	4607                     	1                        	0.0017                   	19                       
	4608                     	3                        	0.1629                   	5,15,19                  
	4609                     	2                        	0.0157                   	15,19                    
	4612                     	2                        	0.0886                   	8,13                     
	4616                     	2                        	0.0246                   	7,13                     
	4658                     	1                        	0.0442                   	8                        
	4678                     	2                        	0.103                    	2,7                      
	4682                     	7                        	0.0191                   	3,6,7,9,10,16,17         
	4683                     	18                       	0.0923                   	1,2,3,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20
	4691                     	1                        	0.0022                   	14                       
	4698                     	1                        	0.0257                   	14                       
	4699                     	2                        	0.0109                   	14,15                    
	4706                     	2                        	0.0168                   	4,5                      
	4708                     	1                        	0.0583                   	18                       
	4712                     	2                        	0.0355                   	4,9                      
	4750                     	1                        	0.0691                   	1                        
	4752                     	1                        	0.0342                   	5                        
	4755                     	1                        	0.0361                   	19                       
	4777                     	2                        	0.0373                   	14,20                    
	4792                     	9                        	0.0782                   	2,3,4,5,7,13,14,19,20    
	4795                     	5                        	0.0522                   	3,4,5,14,19              
	4811                     	1                        	0.0445                   	14                       
	4812                     	2                        	0.0307                   	8,16                     
	4817                     	6                        	0.0358                   	3,9,10,12,14,18          
	4823                     	3                        	0.0483                   	1,7,8                    
	4826                     	3                        	0.0347                   	9,12,14                  
	4835                     	1                        	0.0542                   	10                       
	4851                     	1                        	0.0892                   	3                        
	4880                     	4                        	0.0729                   	3,10,11,18               
	4884                     	4                        	0.2259                   	3,11,14,19               
	4885                     	1                        	0.0471                   	10                       
	4886                     	4                        	0.0598                   	3,11,14,19               
	1                        	16                       	0.0535                   	1,2,3,4,5,6,7,9,11,12,13,14,15,16,18,20
	2                        	3                        	0.0063                   	2,5,20                   
	3                        	4                        	0.0258                   	8,9,13,19                
	5                        	20                       	0.0923                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	7                        	10                       	0.0189                   	3,6,8,12,13,14,17,18,19,20
	9                        	10                       	0.0239                   	4,7,8,11,12,13,16,17,18,20
	11                       	15                       	0.057                    	1,2,4,5,6,7,9,11,13,14,16,17,18,19,20
	12                       	1                        	0.0043                   	14                       
	13                       	4                        	0.0265                   	6,7,9,20                 
	15                       	16                       	0.0262                   	1,2,3,4,5,6,7,8,9,12,13,16,17,18,19,20
	16                       	1                        	0.0163                   	8                        
	17                       	6                        	0.021                    	1,6,7,9,15,18            
	19                       	17                       	0.0444                   	1,2,3,5,6,7,8,9,10,12,13,15,16,17,18,19,20
	23                       	6                        	0.0332                   	5,7,10,11,15,16          
	24                       	1                        	0.0027                   	10                       
	27                       	4                        	0.0154                   	3,10,16,20               
	29                       	9                        	0.0464                   	2,5,6,7,8,12,14,15,18    
	30                       	3                        	0.0202                   	6,8,18                   
	31                       	19                       	0.0308                   	1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	33                       	1                        	0.0257                   	6                        
	35                       	11                       	0.0407                   	2,3,4,9,10,11,13,14,15,16,20
	37                       	11                       	0.0216                   	1,2,3,4,5,6,7,11,13,14,15
	39                       	2                        	0.0091                   	12,19                    
	41                       	20                       	0.0775                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	43                       	15                       	0.0271                   	1,2,3,4,7,8,9,10,12,13,14,15,18,19,20
	47                       	12                       	0.0233                   	2,3,4,7,9,11,12,13,15,16,18,19
	49                       	8                        	0.0258                   	2,3,4,7,9,10,14,19       
	51                       	8                        	0.0186                   	2,3,4,10,13,14,15,18     
	53                       	20                       	0.0614                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	57                       	4                        	0.0018                   	3,9,10,14                
	59                       	19                       	0.0418                   	1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20
	61                       	18                       	0.0316                   	1,2,3,4,6,7,8,9,10,11,12,13,15,16,17,18,19,20
	63                       	2                        	0.0114                   	1,17                     
	65                       	18                       	0.0382                   	1,2,3,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20
	67                       	2                        	0.0107                   	4,14                     
	69                       	15                       	0.0322                   	1,2,3,4,6,7,9,10,11,12,13,14,17,18,19
	71                       	3                        	0.0075                   	12,15,16                 
	73                       	16                       	0.0335                   	1,2,3,4,6,7,8,9,11,13,14,16,17,18,19,20
	75                       	15                       	0.0183                   	1,2,3,4,5,6,8,10,12,13,15,17,18,19,20
	77                       	1                        	0.003                    	8                        
